size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
399247,367165,32189,214,False,True,True,False,False,Organization,396,33082,256,6897,16,False,True,False,False,False,10,394284,467979,467980,1,0,0,0,0,1
16794,280243,55348,45,False,True,True,False,False,Organization,430,8341,156,3743,5,False,False,False,False,True,5,383737,467979,467905,1,0,0,0,0,1
188163,265876,21414,16732,False,False,False,False,False,User,405,3189,238,631,0,False,False,False,False,True,14,431546,467980,467324,1,0,0,0,1,0
20576,257898,67735,56,False,False,True,False,False,User,279,2359,24,0,12,False,False,False,False,True,11,406989,467980,467873,0,0,0,0,0,1
1461,254832,25801,63,False,True,True,False,False,User,437,1091,43,4,5,False,False,False,False,True,9,390296,467980,467971,0,0,0,0,0,1
4948,240676,27517,194,False,False,True,False,False,Organization,431,4527,44,0,13,False,False,True,False,False,6,405138,467979,467909,1,1,0,0,0,0
1531959,240042,33920,416,True,True,True,False,False,User,470,3211,36,1564,18,False,True,False,False,False,14,413768,467980,467979,1,0,0,0,1,0
11187,220590,39149,379,True,False,True,True,False,User,110,329,25,0,13,False,False,True,False,False,15,413362,467980,467703,0,0,0,0,1,0
323598,207773,43360,1269,True,True,True,True,False,Organization,426,15814,685,143,6,True,False,False,False,False,8,380386,467980,467956,1,1,0,0,0,0
31925,203701,33754,636,True,False,True,True,False,Organization,350,3547,441,0,4,False,True,False,False,False,13,381957,467980,467938,1,1,0,0,0,0
967,201805,19705,287,False,False,True,False,False,Organization,103,520,6,0,6,False,False,False,False,True,9,423846,467980,467976,1,0,1,0,0,0
939671,174766,88367,2161,False,False,True,True,False,Organization,409,148353,933,0,8,False,False,False,False,True,8,401899,467979,467979,1,0,0,1,0,0
13236,170143,27928,310,False,False,True,False,False,User,192,1097,41,0,8,True,False,False,False,False,15,422738,467980,467893,0,1,0,0,0,0
6728,168567,23181,351,False,True,False,False,False,User,365,1639,33,198,6,False,False,True,False,False,11,389967,467980,467871,1,0,0,0,1,0
12512,167992,32555,132,False,False,True,True,False,User,172,1892,74,0,13,False,False,False,False,True,8,384597,467978,467736,0,0,0,0,1,0
116174,164318,50193,181,True,True,True,True,False,User,218,3776,17,1274,8,False,False,False,False,True,2,421809,467979,467372,1,0,1,0,0,0
230705,163742,78486,402,False,True,True,True,True,Organization,367,22419,1716,133,7,True,False,False,False,False,17,364431,467980,467977,1,1,0,0,0,0
10228,159064,25267,622,True,False,True,True,True,Organization,391,6903,723,0,16,False,False,False,False,True,53,347628,467979,467979,1,1,0,0,0,0
13434,158865,40127,164,True,False,True,True,True,Organization,459,2807,120,0,14,False,False,True,False,False,5,407956,467980,467979,1,1,0,0,0,0
259457,153546,25380,11577,True,False,True,True,False,Organization,387,34984,496,0,19,False,False,False,False,True,14,396017,467980,467980,1,0,0,0,0,1
4441554,152009,48078,312,False,False,False,True,False,User,ERROR,1185791,1157,0,0,False,False,False,False,True,4,365321,467980,467967,0,0,0,0,1,0
2356,148144,84200,407,False,False,False,False,False,Organization,419,3528,369,0,2,False,False,False,False,True,6,358118,467980,467955,0,0,0,0,0,1
868084,146404,25728,7040,True,False,True,True,False,Organization,348,109265,3927,0,6,False,True,False,False,False,3,400358,467980,467980,1,1,0,0,0,0
1204,139412,17987,16,True,False,True,True,False,Organization,129,998,29,0,4,False,False,False,False,True,10,388650,467980,467564,0,1,0,0,0,0
2673,136279,13587,222,False,False,True,True,False,User,147,1210,54,0,6,False,False,False,False,True,7,397809,467980,467974,0,0,1,0,0,0
310266,136068,49116,683,True,False,True,True,False,User,12,372,69,0,0,False,False,True,False,False,3,422194,467979,467302,0,0,1,0,0,0
3663,134359,25601,160,True,True,True,False,False,Organization,408,1954,132,9,14,True,False,False,False,False,3,375497,467979,467956,0,1,0,0,0,0
160725,133877,44054,66,True,False,True,True,True,User,400,4728,27,1151,10,False,False,False,False,True,6,423799,467979,467973,1,0,0,1,0,0
7412,133484,27412,776,True,True,True,True,True,Organization,287,1986,136,698,6,False,False,True,False,False,9,466371,467980,467979,1,1,0,0,0,0
15331,132418,7613,99,False,False,True,True,False,Organization,411,6059,16,0,7,False,False,False,False,True,18,398085,467980,467980,1,0,0,0,1,0
64866,120471,9001,4735,False,True,True,True,False,Organization,390,18716,1816,323,0,False,False,True,False,False,11,357921,467980,467932,1,0,0,0,0,1
124715,116125,22338,324,True,False,True,True,True,User,82,429,12,1,8,False,False,False,False,True,13,439467,467979,467923,1,0,1,0,0,0
592990,111674,11497,0,True,False,True,True,True,Organization,391,8972,41,2151,15,True,False,False,False,False,8,419988,467979,467960,1,0,0,0,0,1
349759,111472,16561,8319,True,False,True,True,True,Organization,390,56797,423,0,4,False,False,False,False,True,4,391223,467980,467974,1,0,0,0,0,1
851308,109667,23275,1977,True,True,True,True,False,Organization,325,27678,3305,2394,8,False,False,False,False,True,8,394668,467980,467979,1,1,0,0,0,0
138416,107465,14675,894,False,False,True,True,False,Organization,382,27343,350,0,9,False,False,False,False,True,10,379364,467977,467980,1,1,0,0,0,0
1838660,106461,23928,1984,False,False,True,False,True,Organization,449,15909,1576,1709,14,True,False,False,False,False,3,409914,467979,467980,1,1,0,0,0,0
42671,105386,23311,7,True,False,True,False,True,Organization,119,4355,177,0,5,True,False,False,False,False,10,357107,467980,467898,1,0,0,0,0,1
438,102799,14449,38,True,False,True,True,True,Organization,100,570,13,0,8,False,False,False,False,True,5,414431,467979,467768,0,1,0,0,0,0
1236,102519,27530,28,False,False,False,False,False,User,119,922,38,0,14,False,False,False,False,True,2,384308,467978,467061,1,0,0,0,0,1
10151,101827,10967,145,False,False,True,False,True,User,428,4561,26,518,6,False,False,False,False,True,10,390176,467980,467944,1,1,0,0,0,0
144265,101078,20596,699,True,False,True,True,False,Organization,437,12976,320,0,20,False,False,True,False,False,10,428000,467980,467979,1,0,0,1,0,0
12315,100229,10324,441,False,False,True,True,True,Organization,399,1450,55,0,5,True,False,False,False,False,9,391217,467975,467910,1,1,0,0,0,0
23405,99833,26367,2011,False,True,True,True,True,Organization,455,2800,216,34,3,True,False,False,False,False,10,407985,467980,467931,1,1,0,0,0,0
1194201,98519,36170,2474,False,False,True,True,False,Organization,355,116299,21568,4,4,False,False,False,False,True,5,389465,467979,467980,1,0,0,1,0,0
3479,98079,7283,44,False,False,False,False,False,User,98,1066,6,0,19,False,False,False,False,True,14,424925,467980,467870,0,1,0,0,0,0
1002155,95490,25926,1707,False,False,True,True,True,Organization,442,39001,1609,0,9,True,False,False,False,False,4,393614,467979,467980,1,0,0,0,1,0
1281470,91945,34698,501,True,True,True,False,False,User,364,41657,2764,413,12,True,False,False,False,False,3,352597,467980,467979,1,1,0,0,0,0
2106801,91370,11772,6312,True,False,True,True,False,Organization,352,34822,3621,1,4,False,True,False,False,False,12,389721,467979,467976,1,0,0,1,0,0
32024,90794,11844,17,True,False,True,False,True,User,140,1254,79,4074,10,False,True,False,False,False,10,407687,467980,467851,1,1,0,0,0,0
323859,90736,5275,4851,True,False,True,True,False,Organization,353,6597,782,0,8,False,False,False,False,True,6,432420,467980,467968,0,1,0,0,0,0
101948,89458,4864,1353,True,False,True,False,True,Organization,435,9371,235,1593,4,False,False,False,True,False,7,423980,467979,467969,1,1,0,0,0,0
70080,89308,9233,45,False,False,True,True,False,User,221,3810,8,0,18,False,False,False,False,True,8,418179,467978,467740,1,0,0,0,0,1
133488,88816,7780,1481,True,False,True,True,True,Organization,354,3624,2441,0,10,False,False,False,False,True,15,417349,467979,467921,0,1,0,0,0,0
460502,88253,23614,1437,False,False,True,True,True,Organization,385,27122,1169,0,7,False,True,False,False,False,5,391954,467978,467979,1,1,0,0,0,0
380954,86798,29827,1477,False,False,True,True,True,Organization,422,21931,465,255,7,False,True,False,False,False,17,391213,467980,467980,1,1,0,0,0,0
155534,85964,39637,970,True,True,True,True,True,Organization,376,25213,1761,1043,7,False,True,False,False,False,9,397186,467979,467980,1,1,0,0,0,0
5525,83814,8606,1374,True,False,True,True,False,Organization,111,2107,55,0,8,False,False,False,False,True,6,419796,467980,467868,0,0,0,1,0,0
477240,83292,8946,276,False,True,True,False,False,Organization,450,3536,100,334,8,False,True,False,False,False,4,415096,467980,467978,1,0,0,1,0,0
15436,82392,29747,1293,True,True,True,True,True,User,115,1019,44,77,19,False,False,False,False,True,6,414550,467980,467733,0,1,0,0,0,0
520,82251,11150,84,True,False,True,True,False,User,106,546,10,0,7,True,False,False,False,False,7,411136,467979,467721,0,1,0,0,0,0
30762,82045,25100,201,True,False,True,False,False,User,335,3454,43,306,8,False,False,False,False,True,5,390995,467979,467910,1,0,0,0,1,0
923518,81729,10799,9578,False,False,True,True,False,Organization,435,224754,54332,0,4,False,False,False,True,False,8,354639,467978,467980,1,0,0,0,1,0
673299,78704,8463,2185,False,False,True,True,True,Organization,365,50534,1355,8739,19,False,True,False,False,False,20,405070,467980,467978,1,1,0,0,0,0
1778,77831,16473,51,False,True,True,True,True,Organization,114,662,20,188,4,False,False,False,False,True,15,366220,467976,466698,1,0,0,0,1,0
4031,77492,3356,287,True,False,True,True,False,User,168,1636,27,0,2,False,False,True,False,False,8,396801,467979,467550,0,1,0,0,0,0
30551,76923,14888,1924,True,False,True,True,True,User,403,4382,599,0,16,False,False,True,False,False,4,461432,467980,467978,0,0,0,0,0,1
624,75917,9672,269,False,True,False,False,False,User,74,395,12,135,5,False,False,False,False,True,10,463952,467980,467958,1,0,0,0,0,1
612992,75823,46258,1198,True,False,True,True,False,Organization,370,9027,197,0,0,False,False,False,False,True,6,404059,467978,467923,0,0,0,0,1,0
34199,74454,6909,58,False,False,True,True,True,Organization,76,891,27,47,0,False,True,False,False,False,20,404583,467978,467915,1,1,0,0,0,0
10632,73488,23731,31,False,False,False,False,False,Organization,402,6898,1538,0,3,False,False,False,False,True,30,363189,467979,467924,1,0,1,0,0,0
509807,73143,13917,18,True,False,True,True,False,User,15,246,8,0,5,False,False,False,False,True,11,428906,467977,466484,0,0,1,0,0,0
230560,72780,5298,4,False,False,True,False,False,Organization,244,862,19,0,7,False,False,False,False,True,10,385305,467979,467797,1,0,1,0,0,0
110561,71453,12425,5369,True,False,True,True,True,Organization,3,13,79,21,7,True,False,False,False,False,7,369296,467980,467477,1,0,0,0,1,0
238247,70841,29243,149,False,False,False,False,False,Organization,395,31730,1829,436,9,False,False,True,False,False,7,370989,467979,467980,1,0,0,0,0,1
301,70775,6767,45,True,False,True,True,False,Organization,78,282,3,0,5,False,False,False,False,True,12,417655,467978,467058,0,0,0,0,0,1
88608,70148,2984,364,True,False,True,True,True,User,111,582,17,0,3,False,False,False,False,True,6,393254,467979,467840,0,0,0,0,0,1
33645,70094,18314,2,False,True,True,False,True,Organization,36,731,11,624,20,False,False,False,False,True,14,427446,467979,467694,1,0,0,0,0,1
6765,70042,7617,14,False,True,False,False,False,User,431,5096,23,1451,2,False,False,False,False,True,18,396303,467979,467915,1,0,1,0,0,0
87472,69850,10943,76,True,True,True,False,True,Organization,202,1608,47,284,7,True,False,False,False,False,10,445821,467979,467880,1,1,0,0,0,0
233222,69622,34255,633,False,False,True,True,False,Organization,350,37598,1041,0,5,False,False,False,False,True,4,359097,467979,467980,1,1,0,0,0,0
4451,69072,8993,103,False,False,True,True,True,User,7,156,12,0,4,False,False,True,False,False,11,406200,467980,467395,1,0,1,0,0,0
517931,68925,55318,2473,True,False,True,False,False,Organization,290,32949,370,0,5,False,False,False,False,True,5,372964,467978,467980,1,0,0,1,0,0
3222,68807,7459,691,False,False,True,False,False,Organization,375,1684,69,0,7,False,False,False,False,True,34,389706,467980,467862,1,1,0,0,0,0
13004,68626,9347,44,False,False,True,True,False,Organization,446,5021,6,0,0,False,False,False,False,True,10,401466,467976,467863,0,1,0,0,0,0
93406,68597,3544,15,False,False,True,False,True,Organization,244,5161,44,0,7,False,False,False,False,True,8,418689,467979,467961,1,1,0,0,0,0
91172,67901,3317,817,True,False,True,True,False,Organization,426,7099,133,745,3,False,True,False,False,False,4,411012,467980,467980,1,1,0,0,0,0
27854,67640,11478,104,False,False,True,True,False,User,86,1071,19,0,9,False,False,False,False,True,19,402969,467979,467960,0,0,0,1,0,0
167372,67356,38651,640,True,False,True,True,False,Organization,368,42945,896,6,4,False,False,False,False,True,2,375177,467979,467967,1,0,0,1,0,0
3307,67174,7215,375,False,False,True,False,False,Organization,333,2131,126,0,13,False,False,False,False,True,13,353148,467980,467610,0,1,0,0,0,0
115087,67158,7192,643,False,False,True,True,False,Organization,427,7579,335,0,7,False,False,False,False,True,7,381369,467979,467979,1,0,0,1,0,0
1317690,67025,18366,11936,True,False,True,True,False,Organization,344,60524,1155,940,8,False,False,True,False,False,11,408623,467979,467980,1,0,0,0,1,0
3761,66939,6591,658,False,False,True,True,False,User,70,872,10,0,0,True,False,False,False,False,15,384871,467980,467739,0,1,0,0,0,0
57974,66225,26830,37,True,False,True,True,False,User,1,958,10,0,16,False,False,False,False,True,3,422995,467978,467929,1,0,0,1,0,0
247231,66041,4647,1709,True,False,True,True,False,Organization,448,26075,825,0,7,False,False,False,False,True,6,386432,467978,467980,1,0,0,0,1,0
197968,65947,18685,4217,True,False,True,True,True,Organization,406,46164,742,0,3,False,False,False,False,True,14,377364,467980,467929,1,0,0,1,0,0
2870,65173,6250,5,False,True,True,False,True,User,107,697,9,263,12,False,False,False,False,True,11,418924,467978,464396,1,0,0,0,0,1
165,65168,8525,24,False,False,False,False,False,Organization,21,115,29,0,9,False,False,False,False,True,12,405370,467979,467550,0,0,0,0,0,1
112732,64806,391,619,False,True,True,False,False,Organization,230,26099,248,1929,5,True,False,False,False,False,11,428392,467979,467977,0,0,0,0,0,1
614,64781,8403,357,True,False,True,True,False,User,62,536,0,0,4,False,False,False,False,True,14,430861,467979,467573,0,1,0,0,0,0
1078266,63847,23114,4104,False,False,True,True,False,Organization,345,68858,1189,0,3,False,False,False,False,True,7,351559,467979,467980,1,0,0,0,1,0
21213,63794,16525,738,True,True,True,True,True,User,295,2967,113,15,3,True,False,False,False,False,4,363181,467977,467814,1,1,0,0,0,0
74938,63697,1726,514,False,False,True,True,True,Organization,253,3404,83,4,17,False,False,False,True,False,12,434163,467980,467963,1,0,0,1,0,0
132741,63153,5525,318,False,False,True,True,True,Organization,400,15487,168,0,20,False,False,False,False,True,6,380965,467978,467964,0,0,0,0,0,1
59774,63073,8742,299,False,False,True,True,True,Organization,403,16015,249,0,16,True,False,False,False,False,44,369820,467977,467973,1,1,0,0,0,0
10210,63006,15664,1,False,False,True,False,True,Organization,406,5066,166,10,7,False,False,True,False,False,8,352925,467979,467887,1,0,0,0,0,1
990559,62790,10084,6496,False,False,True,False,False,Organization,356,151068,4309,0,0,False,False,False,False,True,4,401559,467979,467979,1,0,0,1,0,0
46896,61881,8947,122,True,False,True,True,False,User,1,564,0,0,0,False,False,False,False,True,4,435453,467979,467972,0,0,0,0,1,0
1282783,61441,11462,9636,False,False,True,True,False,Organization,463,54358,1447,0,8,False,False,False,False,True,9,385786,467980,467979,1,1,0,0,0,0
9096,60909,10466,169,True,False,True,False,True,Organization,275,5775,517,0,4,True,False,False,False,False,7,346117,467977,467888,1,1,0,0,0,0
10485,60701,5850,136,True,True,True,True,False,User,451,1907,16,657,10,True,False,False,False,False,18,407986,467979,467955,1,0,0,0,0,1
42309,60645,11859,258,False,False,True,True,True,Organization,428,4441,89,0,7,True,False,False,False,False,7,378762,467979,467921,1,1,0,0,0,0
450128,60570,23234,2780,False,False,True,True,False,Organization,404,62325,748,87,8,False,False,True,False,False,12,383161,467979,467979,1,0,0,1,0,0
52003,60434,5052,279,False,False,True,True,True,Organization,201,3563,49,1325,7,False,True,False,False,False,5,430907,467979,467962,1,1,0,0,0,0
411,59963,1408,63,True,True,True,True,False,Organization,46,263,16,1,0,True,False,False,False,False,6,360272,467979,465673,1,0,1,0,0,0
131728,59939,22549,2398,False,False,True,True,True,Organization,385,11730,629,0,0,False,False,False,False,True,31,343793,467979,467980,1,0,0,0,0,1
24091,59826,12574,112,True,False,True,True,False,User,28,445,9,0,20,False,False,False,False,True,9,413076,467979,467965,1,1,0,0,0,0
28292,59584,15403,47,False,True,True,False,True,Organization,426,3775,237,24,1,False,True,False,False,False,6,398034,467978,467963,1,1,0,0,0,0
126287,59426,15015,888,True,True,True,True,False,Organization,369,11868,174,3957,8,False,False,False,False,True,7,391402,467978,467964,1,0,0,0,1,0
330585,59395,18348,1000,False,False,True,False,True,Organization,329,38533,990,0,7,True,False,False,False,False,5,368628,467979,464645,1,1,0,0,0,0
101744,59170,28118,466,True,False,True,True,False,Organization,400,9073,1786,0,0,True,False,False,False,False,7,350755,467976,458266,1,1,0,0,0,0
2535,58900,14035,4,False,True,True,False,False,User,446,1863,3,0,0,False,False,True,False,False,11,390397,467978,467872,0,0,0,0,1,0
16027,58845,11420,322,True,True,True,True,False,User,11,807,9,5,0,True,False,False,False,False,18,371349,467974,464961,1,1,0,0,0,0
35951,58394,19349,393,True,False,True,True,False,Organization,422,8199,235,0,6,False,False,True,False,False,4,396523,467979,467980,1,0,0,1,0,0
17183,58263,10188,117,False,True,True,True,True,Organization,193,1976,234,0,4,False,True,False,False,False,5,352308,467978,467979,1,1,0,0,0,0
17016,58144,4857,514,True,False,True,True,True,User,430,2833,573,8025,20,False,False,True,False,False,13,428954,467979,467973,1,1,0,0,0,0
3080,58024,17712,62,True,False,True,True,False,User,37,307,3,0,0,False,False,False,False,True,1,423056,467979,463348,0,0,1,0,0,0
221382,57705,4622,857,True,True,True,True,True,Organization,392,7493,51,384,7,True,False,False,False,False,16,393018,467980,467978,1,1,0,0,0,0
32351,57476,20777,86,True,False,True,False,True,Organization,290,6614,3023,0,1,True,False,False,False,False,3,344097,467977,467969,1,1,0,0,0,0
242968,57427,23362,979,False,False,True,True,False,Organization,378,53728,849,0,3,False,False,True,False,False,48,369729,467978,467921,1,0,0,0,0,1
7585,57396,11791,327,False,False,True,True,False,Organization,3,29,401,0,0,False,False,False,False,True,6,466641,467980,467954,1,0,0,0,0,1
5056,57135,10888,8,False,True,True,False,True,Organization,219,951,46,34,6,False,False,False,False,True,19,369114,467980,467941,1,1,0,0,0,0
5,56808,4674,4336,True,False,True,True,False,User,1,4,80,0,0,False,False,False,False,True,13,421650,467972,467917,0,0,0,1,0,0
289751,56738,6900,69,True,False,True,True,False,Organization,378,13411,51,0,13,False,True,False,False,False,22,412838,467980,467977,1,1,0,0,0,0
13485,56537,16468,141,True,False,True,True,True,Organization,75,1718,75,0,3,False,False,False,False,True,5,377258,467979,467200,0,0,0,0,1,0
33140,56407,5007,540,False,False,True,True,True,Organization,449,5676,90,259,5,False,True,False,False,False,6,440951,467980,467979,1,1,0,0,0,0
47581,56380,6925,504,True,False,True,True,False,Organization,286,8005,848,0,4,True,False,False,False,False,10,370486,467980,467885,1,0,0,0,1,0
858,56111,7858,68,True,False,True,True,False,User,119,611,7,0,13,True,False,False,False,False,8,426679,467976,467295,0,1,0,0,0,0
518,56010,7931,16,True,False,True,True,False,User,85,327,13,0,19,False,False,False,False,True,8,410291,467979,467806,0,0,1,0,0,0
2471,55608,6718,3,False,False,True,False,False,User,436,1973,11,0,10,False,False,False,False,True,8,390912,467979,467741,0,0,1,0,0,0
782387,55422,10830,3598,False,False,True,True,True,Organization,376,42955,470,0,15,False,True,False,False,False,26,385210,467979,467980,1,0,0,0,0,1
2102,55393,16637,272,False,False,True,True,True,User,248,755,417,913,6,True,False,False,False,False,8,442853,467980,467958,1,1,0,0,0,0
1096,55334,7581,23,True,False,True,True,False,Organization,137,449,4,0,14,False,False,False,False,True,15,402412,467979,467845,1,0,1,0,0,0
227307,55234,19472,2289,True,False,True,True,False,Organization,205,9078,78,2,9,False,True,False,False,False,13,379149,467977,467811,1,0,0,1,0,0
2964,54822,6835,136,True,False,True,True,False,User,171,537,22,0,4,False,False,False,False,True,14,387922,467977,463376,0,0,0,0,1,0
22577,54582,12229,7,True,False,True,False,True,Organization,245,2459,984,0,7,True,False,False,False,False,14,351204,467980,467583,1,1,0,0,0,0
1115068,54468,10538,129,False,False,True,True,True,Organization,418,21403,242,0,7,True,False,False,False,False,12,397841,467978,467978,1,1,0,0,0,0
